id;timestamp;name;mensaje;positividad
4;26/09/2018 20:24;CallSaulCall;@vwargentina Qué me importa Cerro Bayo si me roban para hacer un service obligatorio para conservar la garantía. Chorros!;Negativo
5;26/09/2018 20:22;CallSaulCall;@vwargentina Uds están locos. El service de 20MKm del Vento sale 14.000 pesos y no es más que el cambio de aceite (que cuesta 4.000 en cualquier buen service no VW). Porqué abusan. Dejaré la marca en el próximo cambio de auto. Roben a otros y mientan;Negativo
8;26/09/2018 17:12;chupaxixi;@Volkswagenplann Esto m parece trucho @vwargentina;Negativo
13;26/09/2018 14:08;Lucho0706;@vwargentina  CALL CENTER DE VW UN DESASTRE 52 MINUTOS DE ESPERA (14 PERSONAS ANTES), DEJAS RECLAMOS NADA, ENVIAS MAIL, NO CONTESTAN, FIGURO COMO DEUDOR Y TENGO DEBITO AUTOMATICO, VERGUENZA;Negativo
19;25/09/2018 22:08;ArnaldoPoggiali;@vwargentina Nadie me supo decir el porqué le sacaron la caja de 7 velocidades DSG para ponerle una de 6 y TRIPTRONIC ... es más quien fue de Salta por una concesionaria local les hizo la pregunta y lo ignoraron.;Negativo
30;25/09/2018 15:43;agg2510;Los diseñadores de las tazas de los autos. ¿Saben que hay que lavarlas? Algunos diseños son imposibles.@vwargentina @FiatAutoArg @peugeotarg  @RenaultArg @ChevroletArg @citroenarg  #Ford;Negativo
31;25/09/2018 14:26;diego_tiseira;Impresentable la atención al cliente de @vwargentina no responden por ningún medio. @DNDConsumidor @DPNArgentina;Negativo
32;25/09/2018 13:34;IsabelPosse;Finalmente la semana pasada @vwargentina y @AriasHnosVW, nos entregaron nuestro vehiculo, lo hemos probado durante el fin de semana y parece solucionado el problema. esperemos.......,  los gastos incurridos veremos como los recuperamos.;Negativo
41;24/09/2018 22:57;seroconese;@vwargentina una vergüenza! le sacaron la caja DGS;Negativo
42;24/09/2018 22:42;juanfran77mdp;@vwargentina Publicidad 👎. El culto a la superficialidad.Pibe sale quejoso hasta q ve el 0km, padre haciéndose el piola con el autito, y por supuesto, la conexión entre ellos es vía BT. Patética. #nuevovento;Negativo
44;24/09/2018 19:55;aguantemac;@vwargentina che, muy rico todo. Pero el banner de Vento mal escrito es un bajón. Suerte la próxima https://t.co/IXtCUu56pk;Negativo
45;24/09/2018 15:44;bufonn69;@InfoAutoAr @vwargentina 1 palo .... un auto con un faltante  de equipamiento para ese precio ...  fueron para atrás con la caja automática , eje trasero, etc. . Me llama la atención Vw!!!!;Negativo
49;24/09/2018 13:45;fernagos;@horacioalonso16 @vwargentina @Autoblogcomar igual, no creo. Autolatina fue un fracaso. Ford no va a bajarse con la pick up, despues de ser pionero durante decadas.;Negativo
51;26/09/2018 21:33;jucarossia;pagas una fortuna para tener un servicio pesimo y en atención al cliente no te saben responder ni cuanto es 2+2. Los odio @fibertel;Negativo
55;26/09/2018 20:55;CamiMaffini;3 días sin internet en el edificio y van.. dijeron que venían hoy a arreglarlo y sigue todo igual. Urgente una solución!!!!! @CableFibertel @fibertel;Negativo
58;26/09/2018 20:46;JavierCiani;@NicoRomano04 Mi queja es para @fibertel puntualmente, que tiene un servicio de mierda y no te deja laburar.;Negativo
62;26/09/2018 18:59;marugermino;Peor internet del mundo @fibertel;Negativo
63;26/09/2018 17:03;identidadusada;Simplemente heeeermoso lo de Juan Carlos @CableFibertel... Pasan a instalar, le permitis pasar al baño y te orinan todo el suelo... 😡😡😡 Ya saben, si contratan @fibertel no los dejen pasar al baño;Negativo
65;26/09/2018 16:04;FernandaMarBer;Gracias, queride @fibertel, por tenerme toda la mañana, yendo para la tarde a paso seguro, sin Internet y sin poder trabajar!! Qué bueno que el servicio es gralm' excelente... ah, no, pará!!;Negativo
67;26/09/2018 15:15;Deboh_oviedo;#Machirulo ⁦@CableFibertel⁩ ⁦@fibertel⁩ en vez de preocuparse por quien toma las decisiones xq no arreglan internet q desde q cambiaron las cajas externas hace 4 meses q anda como el culo en todos lados 😘 la fusión se ve q no los favoreció mucho https://t.co/52YKet7ama;Negativo
68;26/09/2018 15:13;MeeeLy;@CableFibertel @fibertel estoy cansada de su mal servicio. Bastante caro para lo que es. Urgente quiero Internet xq estoy trabajando y no puedo esperar 3 hs como me dicen x tel. Hace ya varios meses q deberían haber enviado técnico a mi domicilio pero n;Negativo
69;26/09/2018 15:11;GabyAsborno;Estoy tan enojada con @fibertel !! Me dejaron 4 días sin internet (estoy usando la red del celu) xq era un problema particular y tenía turno hoy para la visita técnica, esperando se me ocurre preguntar. Me cancelaron la visita sin avisar! xq es un problema de zona 😡;Negativo
70;26/09/2018 14:36;NatiCorttes;Qué raro @fibertel funcionando como el culo 😠🤬;Negativo
71;26/09/2018 13:43;franciscoakinch;@SebbaParra @fibertel Rompele las pelotas por aca, a ver si se dignan a responder el reclamo;Negativo
72;26/09/2018 13:36;SebbaParra;@franciscoakinch @fibertel @fibertel prometo hacerles la peor publicidad que pueda en cualquier ámbito. Su servicio de internet es espantoso y lento como ningún otro, y su atención al cliente es deplorable.;Negativo
74;26/09/2018 13:26;franciscoakinch;@SebbaParra @fibertel Es una mierda, yo todos los putos dias tengo problemas con el internet;Negativo
75;26/09/2018 13:23;SebbaParra;Tan mal me puede andar internet loco? Siglo XXI,  @fibertel como podés tener un servicio tan nefasto ? En el 99' tenía la misma velocidad que la que tengo ahora 🤦🏽‍♂️;Negativo
76;26/09/2018 12:42;Willy535;@fibertel te vamos a hacer el monumento al micro corte, LPM.;Negativo
78;26/09/2018 12:18;GashoRizzotti12;Hace 1hs estoy esperando, la concha de tu madre @fibertel;Negativo
79;26/09/2018 11:16;MLaura_Lastres;Esto también es culpa mía @fibertel ? La última vez me dijeron que los microcortes era debido a la cantidad de aplicaciones... Y ahora? https://t.co/GgOrqk9E5z;Negativo
80;26/09/2018 10:59;RossoMateo;@GianellaTorresi @fibertel Jajajajajajaj eso le pasa por inútiles, y si vierad ya lo que le había escrito ayer al mediodía y ante ayer..;Negativo
81;26/09/2018 04:14;guidomr;Le pagas a @fibertel por 100mb y no te dan ni 1... pésimo servicio y para el colmo te aumentan la factura.;Negativo
82;26/09/2018 01:31;nicoianno;@fibertel no puede ser q no me ande  el wifi todos los datos me gaste;Negativo
83;26/09/2018 01:30;RAIMUNDIOS;.@CableFibertel @fibertel arreglen la caja que distribuye la señal a la zona de wilde/dominico. https://t.co/0tofj6fRXk;Negativo
84;26/09/2018 01:00;lelejdjd;@fibertel señores de forma Fibertel escribo para quejarme por la falta de servicio de internet. Me hacen nota de crédito por esto?;Negativo
85;26/09/2018 00:10;anabeltorreb;@fibertel más de 12 hs sin funcionar, que servicio de mierda;Negativo
86;25/09/2018 23:53;antyUrsula;Funcionas mal al igual que @fibertel pero... gracias Dior por darnos #Flow Me ahorras tener que ver a la caterva de #LloronasDePauta x la TV abierta.;Negativo
87;25/09/2018 23:36;Lukas447P;Que mal esta funcionando Internet!! Solucionenlo por favor @fibertel @CableFibertel !!!!!!!!;Negativo
88;25/09/2018 23:36;ernestocedron;@fibertel sin servicio nuevamente, casi todos los días me pasa que se corta Internet. Y te cobran 1200 pesos!!!;Negativo
89;25/09/2018 23:25;NNico_a;Ya seria hora de que devuelvan la Internet @fibertel;Negativo
90;25/09/2018 22:46;MaaxiDelgadino;@MicaelaCetola @fibertel La boludeada del año ajajjajajajajajjajajajajja;Negativo
91;25/09/2018 22:31;Fran_Albertario;@fibertel me podes hacer andar el wifi la pita madre? Gracias;Negativo
92;25/09/2018 22:15;facbalseiro;Ustedes también se unieron al paro no @fibertel ?;Negativo
95;26/09/2018 21:28;LaSotina;Poco a poco va muriendo el cargador de mi iPhone, te odio @Apple;Negativo
97;26/09/2018 21:13;idoia_losada;Mira @Apple yo te adoro pero odio que la batería de los iphone vaya como el jodido culo y sé desgasten mucho más rápido que antes.;Negativo
99;26/09/2018 21:09;MARISSKAL;@ServicioTelcel @Apple  servicio de @AppleMusicES  es una porqueria no logran activarlo https://t.co/t3s0BKMvDl;Negativo
100;26/09/2018 21:01;AsensioSegura;@elcorteingles @Apple Si la s. social, no va a pagar las pensiones dentro de 10años, porqué no destinan el pago de la s.s.,que paga mi empresa y yo, a un seguro privado de pensiones. O creen que podemos seguir trabajando,hasta el día de nuestra muerte ;Negativo
101;26/09/2018 21:00;SoyEntrepreneur;#Tecnología  @Apple enfrenta nueva disputa legal con Qualcomm https://t.co/HtbXmlHdcK https://t.co/zNNGBPjXpf;Negativo
103;26/09/2018 20:55;BasurtoRicardoR;@Apple Tengo un Hyundai eternity G24 de 1100 pesos, cuando superen el costo beneficio me cambio!;Negativo
105;26/09/2018 20:41;Eduardo86997891;@isa_marcial @Apple Que ponga cables decentes y cargador de carga rápida😂;Negativo
107;26/09/2018 20:26;TheNintyBoy;@elcorteingles @Apple Mucho anuncio y spam, pero luego no hay forma de encontrarlo. 🙄;Negativo
108;26/09/2018 20:17;Ulises_Cuerna;@isa_marcial @Apple 35 mil varos más para esa petición. Atte: Apple;Negativo
109;26/09/2018 20:17;mistercarter7;@elcorteingles @Apple Pues no se pero el de acero de 44mm llevo esperando 10 días y nada... el pedido sigue esperando preparación;Negativo
111;26/09/2018 20:05;_eMISKY;@ojbaeza @Apple Eso se soluciona comprándote un Aifon. Ya pueden esperar sentados, verdad? https://t.co/BhnfFhHdbj;Negativo
113;26/09/2018 19:59;ojbaeza;Pues sí, @Apple me está troleando https://t.co/8VYDdxIQSE;Negativo
114;26/09/2018 19:59;_Raul_Avila;@diana_aceves_ @MicrosoftES @Apple Yo siempre suelo esperar un mes o dos para instalar este tipo de actualizaciones. Así me ahorro disgustos, porque siempre lían alguna de primeras.;Negativo
116;26/09/2018 19:58;Paloma8aPaloma;Lamentable servicio técnico de @Apple: https://t.co/yo5NXcsclO;Negativo
117;26/09/2018 19:55;DONCORLEONE44;@Apple Muy caros son mejores y los note.;Negativo
121;26/09/2018 19:22;ManuWire;@Apple Mucha publicidad y 0 existencias;Negativo
123;26/09/2018 19:15;bitacoraguti;@elcorteingles @Apple En vez de tanto anuncio mejor ser detallistas con los clientes. https://t.co/1NXPn9a00V;Negativo
125;26/09/2018 19:14;GRKKA;@SuperQuemao @Apple Gracias te tienen que dar ellos 🤪;Negativo
127;26/09/2018 19:06;LilianaBTRJB_;Desde hace tiempo me llegan correos así Que no son de mi cuenta.Que esta pasando? @Apple https://t.co/WxMaL8E3iZ;Negativo
129;26/09/2018 18:59;ChRiSTiAN_0384;@Apple NO FUNCIONA CON @orange_es;Negativo
131;26/09/2018 18:58;Darizuki;Los de @Apple para vender te atienden al momento, pero cuando vas a otra cosita ahhhh vaia vaia;Negativo
137;26/09/2018 18:11;MoradoTrue;"Con lo que me compro un #iPhoneXSMax de @Apple  hago una fiesta loca, loca, loca, con enanos repartiendo cocaina con charolas en la cabeza, en fila y bailando ""Los enanos si bailan, si señor"". -Barrios, 2018";Negativo
138;26/09/2018 18:05;harmattanman;@enriquecarrier @Apple Que gente jodida esta de @Apple siempre a contramano con tal de diferenciarse;Negativo
139;26/09/2018 18:01;eracilara;@apple, por que me matastes de desgosto?;Negativo
141;26/09/2018 17:52;gabiprouso;@Sergiqu @AppleSupport @DHLexpress @Apple Estos de Apple, que por tlf van un poco de sobraos, y esta vez les toca tragarse el cazo.;Negativo
145;26/09/2018 19:37;FFFZurdo;@noeliamarzol @Aerolineas_AR Yo soy paraguayo el mio se fue de Mar del plata a Tucumán y vino sin rueda y cortado y sucio;Negativo
147;26/09/2018 18:13;MauroGrecoRossi;@noeliamarzol @Aerolineas_AR Y agradece que no te chorearon nada de adentro!;Negativo
150;26/09/2018 17:55;silvinatwt;Desastre Aerolíneas. Tienen más empleados que cualquier otra y la pagina web es obsoleta. Para usar las millas hay que ir hasta la única oficina- estratégicamente ubicada en la zona HOT de Plaza de Mayo!! @Aerolineas_AR #aerolineasargentinas;Negativo
152;26/09/2018 17:39;gdlerchundi;@noeliamarzol @Aerolineas_AR el problema no es sólo de @Aerolineas_AR , sino también de la empresa tercerizada que maneja el subir y bajar el equipaje que la mayoría son todos ladrones y los sindicalistas los cubren y enseguida te cortan el acceso a Ez;Negativo
159;26/09/2018 16:47;AliciaalegreRh;@noeliamarzol @Aerolineas_AR Evitá un problema, comprate otra. No corresponde,  pero son de lo peor cuando reclamas.;Negativo
162;26/09/2018 16:39;agu_cirulli;@noeliamarzol @Aerolineas_AR Me hicieron lo mismo cuando viaje de bsas a Roma. Las tiran con odio a las valijas. 😔;Negativo
163;26/09/2018 16:38;carla_cosenza;@noeliamarzol @Aerolineas_AR Al menos te la dieron !!! A mi vieja se la mandaron a África !!!!!!;Negativo
164;26/09/2018 16:36;lufan21;QUÉ VERGÜENZA @Aerolineas_AR hace tres horas que estoy llamando por una consulta y no atiende nadie!!!!;Negativo
167;26/09/2018 16:32;AriiiRuiz;@noeliamarzol @Aerolineas_AR Sabes cómo te entiendo !!!! A mí me rompieron los cierres, por suerte tuvieron la precaución de intentar cerrarla!!!!! Unos HDP;Negativo
168;26/09/2018 16:32;ViviBlvn;@noeliamarzol @Aerolineas_AR Naaa que hdp no les importa nada;Negativo
169;26/09/2018 16:31;SIRCRAWLEY;estoy en Bariloche , en el vuelo de @Aerolineas_AR venian egresados de una escuela de BsAs, no es un viaje recomendable compartir vuelo con esos especimenes....;Negativo
170;26/09/2018 16:30;mimundomarzol;@noeliamarzol @Aerolineas_AR que desastre 🤦🏼‍♀️ dios mio;Negativo
171;26/09/2018 16:29;noeliamarzol;Gracias @Aerolineas_AR por ser tan cuidadosos con el equipaj, destrizarme la valija y dejarla inutilizable... unos copados 👌🏻;Negativo
172;26/09/2018 15:51;GSvch;@Aerolineas_AR cuál es su estilo /política d servicios al cliente??.. #estafa con  membresia no contratada !!;Negativo
174;26/09/2018 15:19;loucipher64;@perroscalle @Aerolineas_AR @Metro951 estoy tan lejos, tan allá en el horizonte, que de querer acercarme necesitaría mas que un pasaje de avión. Hay veces en la vida que esa distancia está más que justificada;Negativo
175;26/09/2018 15:17;GonzzaloCado;La política de atención al público de @Aerolineas_AR debe ser tener un solo pajero atendiendo a los treinta giles que estamos acá esperando.. para que mierda tienen cinco mostradores si usan de uno a la vez? Incompetentes..;Negativo
177;26/09/2018 15:07;braiangonzalia1;@Aerolineas_AR  así como publican que sus vuelos salieron a horario en gran porcentaje en el último tiempo , avisen que un vuelo de 1hora 40 duró 2:30 y en vez d aterrizar en aeroparque nos mandan a eZeiza . Hermosa la aerolínea de bandera;Negativo
178;26/09/2018 15:02;carourd_;Yo no digo matarlos pero al menos podemos hacer vuelos separados? Uno con y otro sin niñes. Ponete las pilas @Aerolineas_AR;Negativo
179;26/09/2018 14:48;SirChandlerBlog;@pabloayb @Aerolineas_AR Desconozco;Negativo
184;26/09/2018 13:53;sebastianelias4;@FiniMarco @Aerolineas_AR Alta chotada nuestra empresa aérea;Negativo
185;26/09/2018 13:18;jonatanfrank;Llegar a aeroparque a las 6.30 para que te aviden que tu vuelo de las 8 se cancelo y te van pateando hasta 4 hs mas tarde y que te toque viajar con un grupo de inadaprados sociales de 5to año que ponen reggeaton para todos y tiran yerba en la alfombra. Algo mas @Aerolineas_AR ?;Negativo
188;26/09/2018 12:51;luzmialt;Día 3 que @Aerolineas_AR sigue sin atender llamados y sin hacerse cargo. La verdad que son unos copados eh!;Negativo
